domain,cohort,window,client_key,named,depth,has_number,metric_kinds,bucket_industry,bucket_craft,bucket_job,bucket_channel,bucket_model,bucket_stage,bucket_geo
avantlalettre.nl,control,after,dansvoormeifestival,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,dekleineprins,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,ehrmvision,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,acteursbureaukapok,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,almerehavenfestival,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,houktrainingcoaching,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,immobeheereffectenvastgoed,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,tekstadviesenprojectmanagementannemarievandenhoven,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,tekstbureauannekevanbostelen,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,ambitionit,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,blackware,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,bureaucontekst,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,acteursbureaukapok,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,agora,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,almerehavenfestival,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,ambitionit,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,blackware,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,bureaucontekst,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,coc,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,cogemcommissiegenetischemodificatie,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,cwm,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,dagjelesgeven,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,dansvoormeifestival,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,degalanschoolvoortraining,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,dekleineprins,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,delettersvanutrecht,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,ehrmvision,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,erasmusmcexpertisecentrumnederlands,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,franzlisztpianoconcours,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,gemeenteutrecht,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,ggzutrecht,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,groenlinks,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,houktrainingcoaching,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,huiselijkgeweld,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,humanitasdmh,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,immo,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,knovkoninklijkenederlandseorganisatievanverloskundigen,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,kranenburgpraktijkonderwijs,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,mantelzorgsamenwerkingsverband,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,moviera,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,movisie,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,nationaalepilepsiefonds,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,oogfonds,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,oostromarbeidsconsultancy,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,overdewereldreisblad,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,pandora,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,razecrectenggg,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,sbwustichtingbeschermendewoonvormenutrecht,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,schoolvoorbeeld,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,stichtingvriendschapsbandutrechtlen,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,stratecservices,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,tekstadviesenprojectmanagementannemarievandenhoven,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,tekstbureauannekevanbostelen,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,theaterkikker,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,ucentraal,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,universiteitutrecht,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,viejautrechtadviesensteunpunthuiselijkgeweld,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,wecanendallviolenceagainstwomen,Y,logo-only,N,,,,,,,,
avantlalettre.nl,control,after,wfzwaarborgfondsvoordezorgsector,Y,logo-only,N,,,,,,,,
baakbeeld.nl,control,before,moonenautoschades,Y,summary-tile,N,,,Branding & huisstijl,,,,,
baakbeeld.nl,control,before,oogblik,Y,summary-tile,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
baakbeeld.nl,control,before,taalvaardig,Y,summary-tile,N,,,Website & webdesign,,,,,
baakbeeld.nl,control,before,organizingpower,Y,summary-tile,N,,,Branding & huisstijl,,,,,
baakbeeld.nl,control,before,hannekefrancken,Y,summary-tile,N,,,Website & webdesign,,,,,
baakbeeld.nl,control,before,damarbewind,Y,summary-tile,N,,,Website & webdesign,,,,,
baakbeeld.nl,control,before,klusbedrijfedvugts,Y,summary-tile,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
baakbeeld.nl,control,before,bouwdoekstelaertshoevemvgm,Y,summary-tile,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
baakbeeld.nl,control,before,samenwijz,Y,summary-tile,N,,,Branding & huisstijl,,,,,
baakbeeld.nl,control,before,stichtingmensdiernood,Y,summary-tile,N,,,unknown,,,,,
baakbeeld.nl,control,before,parktilburg,Y,summary-tile,N,,,unknown,,,,,
baakbeeld.nl,control,before,stichtingecovata,Y,summary-tile,N,,,unknown,,,,,
baakbeeld.nl,control,before,,N,summary-tile,N,,"Nonprofits, charities & associations",Website & webdesign,,,,,
baakbeeld.nl,control,after,carenvanherwaarden,Y,summary-tile,N,,,Website & webdesign,,,,,
baakbeeld.nl,control,after,moonenautoschades,Y,summary-tile,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
baakbeeld.nl,control,after,organizingpower,Y,summary-tile,N,,,Branding & huisstijl,,,,,
baakbeeld.nl,control,after,damarbewind,Y,summary-tile,N,,,Website & webdesign,,,,,
baakbeeld.nl,control,after,samenwijz,Y,summary-tile,N,,,Branding & huisstijl,,,,,
findfactory.nl,control,after,maxicosi,Y,full-case-page,N,,"Fashion, beauty & personal goods",SEO & vindbaarheid,Naamsbekendheid & zichtbaarheid,SEO & organische vindbaarheid,,Omvang in cijfers,Europa
findfactory.nl,control,after,ikpas,Y,full-case-page,Y,traffic,"Nonprofits, charities & associations",Campagnes & creatieve concepten,"Meer leads, aanvragen & verkoop",Multi-channel & omnichannel,,,
findfactory.nl,control,after,jimmygreen,Y,full-case-page,N,,"Food, beverage & agriculture",Branding & huisstijl,"Merk, huisstijl & verhaal",,,,
findfactory.nl,control,after,knitted,Y,full-case-page,N,,"Fashion, beauty & personal goods",Social media content & beheer,"Merk, huisstijl & verhaal",Multi-channel & omnichannel,Zakelijke afnemers (B2B),,Specifiek buitenland
findfactory.nl,control,after,megagenbenelux,Y,full-case-page,N,,,Strategie & advies,unknown,Multi-channel & omnichannel,,,
alion.nl,control,after,spectralindustries,Y,full-case-page,N,,Manufacturing & industrial,Branding & huisstijl,"Merk, huisstijl & verhaal",Website & CMS,,,Internationaal / wereldwijd
alion.nl,control,after,sping,Y,full-case-page,N,,"Construction, real estate & housing",Website & webdesign,"Merk, huisstijl & verhaal",Website & CMS,,,
alion.nl,control,after,sns,Y,full-case-page,N,,,"Video, animatie & fotografie",Bewustwording & gedragsverandering,,,,
alion.nl,control,after,edr,Y,full-case-page,N,,Business & professional services,Website & webdesign,"Merk, huisstijl & verhaal",Website & CMS,Gemengd,,
alion.nl,control,after,verve,Y,full-case-page,N,,"Media, culture & entertainment",Branding & huisstijl,"Merk, huisstijl & verhaal",Apps & custom platforms,SaaS & software,Groot / corporate / marktleider,Internationaal / wereldwijd
bona-agency.com,control,after,cholocatie,Y,full-case-page,N,,"Food, beverage & agriculture",Branding & huisstijl,"Merk, huisstijl & verhaal",Social media organisch,Zakelijke afnemers (B2B),,Nederland plus buurlanden
bona-agency.com,control,after,desiderio,Y,full-case-page,N,,"Energy, utilities & environment",Branding & huisstijl,Website verouderd of nieuw nodig,,Zakelijke afnemers (B2B),Familiebedrijf / gevestigd met historie,
bona-agency.com,control,after,iknowly,Y,full-case-page,Y,other,Education & childcare,Branding & huisstijl,"Merk, huisstijl & verhaal","Branding, campagne & activatie",,,Europa
bona-agency.com,control,after,izsit,Y,full-case-page,N,,"Media, culture & entertainment",Branding & huisstijl,"Merk, huisstijl & verhaal",,,Startup / jong / groeiend,
bona-agency.com,control,after,julietazerial,Y,full-case-page,N,,Business & professional services,Website & webdesign,Website verouderd of nieuw nodig,SEO & organische vindbaarheid,,,Nederlandse stad of plaats
greencreatives.nl,control,after,porsche,Y,summary-tile,N,,,Content & copywriting,,,,,
greencreatives.nl,control,after,reppido,Y,summary-tile,N,,,Branding & huisstijl,,,,,
greencreatives.nl,control,after,simlab,Y,full-case-page,N,,"Software, IT & telecom",Branding & huisstijl,"Merk, huisstijl & verhaal",,,,
greencreatives.nl,control,after,stichtinglifegoals,Y,summary-tile,N,,,Branding & huisstijl,,,,,
greencreatives.nl,control,after,stokedcrossfit,Y,full-case-page,Y,reach_views,"Hospitality, tourism, sports & recreation",Branding & huisstijl,"Merk, huisstijl & verhaal",Website & CMS,,,Nederlandse stad of plaats
contentkunstenaar.nl,control,before,evaexplainervideoagency,Y,full-case-page,Y,seo_positions;reach_views,"Media, culture & entertainment",Content & copywriting,Beter vindbaar in Google,Website & CMS,"Overheid, zorg & onderwijs",,
contentkunstenaar.nl,control,before,flexforcemonkey,Y,full-case-page,Y,traffic;seo_positions;reach_views,"Staffing, recruitment & HR",SEO & vindbaarheid,Groei & nieuwe markten,Social media organisch,,Startup / jong / groeiend,
contentkunstenaar.nl,control,before,geo4nrg,Y,full-case-page,Y,leads_inquiries;traffic;seo_positions,"Construction, real estate & housing",Website & webdesign,Beter vindbaar in Google,Social media organisch,,Startup / jong / groeiend,
contentkunstenaar.nl,control,before,hipselect,Y,full-case-page,N,,Business & professional services,Employer branding & recruitment,Personeel werven & werkgeversmerk,,Zakelijke afnemers (B2B),,
contentkunstenaar.nl,control,before,kloosterkerk,Y,full-case-page,N,,"Nonprofits, charities & associations",Content & copywriting,Maatwerk software & efficiëntere processen,Multi-channel & omnichannel,,,Nederlandse stad of plaats
findfactory.nl,control,after,monsieursaucisson,Y,full-case-page,N,,"Food, beverage & agriculture",SEO & vindbaarheid,Naamsbekendheid & zichtbaarheid,Multi-channel & omnichannel,,,Nederland plus buurlanden
findfactory.nl,control,after,dedesign,Y,full-case-page,N,,Retail & e-commerce (general consumer goods),Branding & huisstijl,Lancering nieuw product of concept,Social media organisch,,,Internationaal / wereldwijd
findfactory.nl,control,after,hellochair,Y,full-case-page,N,,Retail & e-commerce (general consumer goods),SEO & vindbaarheid,"Merk, huisstijl & verhaal",Multi-channel & omnichannel,Webshop consumenten (D2C),,Regionaal (binnen Nederland)
findfactory.nl,control,after,sligrosolutions,Y,full-case-page,N,,"Food, beverage & agriculture",SEO & vindbaarheid,Beter vindbaar in Google,SEO & organische vindbaarheid,Zakelijke afnemers (B2B),Groot / corporate / marktleider,Heel Nederland (landelijk)
findfactory.nl,control,after,wickey,Y,full-case-page,N,,Retail & e-commerce (general consumer goods),SEO & vindbaarheid,Groei & nieuwe markten,Multi-channel & omnichannel,"Overheid, zorg & onderwijs",Omvang in cijfers,Internationaal / wereldwijd
amazing.nl,control,after,xantionict,Y,full-case-page,N,,"Software, IT & telecom",Branding & huisstijl,"Merk, huisstijl & verhaal",,,,
amigosagency.nl,control,before,sparked,Y,full-case-page,N,,"Staffing, recruitment & HR",Branding & huisstijl,Naamsbekendheid & zichtbaarheid,,,,Regionaal (binnen Nederland)
amigosagency.nl,control,before,maashorstcatering,Y,summary-tile,N,,,Branding & huisstijl,,,,,
amigosagency.nl,control,before,fitsport,Y,summary-tile,N,,,Website & webdesign,,,,,
friskagency.com,narrower,before,hondadealers,Y,summary-tile,Y,conversion,,"Online marketing, performance & CRO",,Multi-channel & omnichannel,,,
frontis.nl,narrower,before,egginkverpakkingen,Y,full-case-page,Y,revenue_sales,Retail & e-commerce (general consumer goods),SEO & vindbaarheid,Webshop & online verkoop,Multi-channel & omnichannel,,,Nederland plus buurlanden
frontis.nl,narrower,before,schefferkeukens,Y,full-case-page,Y,traffic,"Construction, real estate & housing",Website & webdesign,Webshop & online verkoop,"E-mail, CRM & marketing automation",Consumentenmarkt offline,,Heel Nederland (landelijk)
frontis.nl,narrower,before,atagbenelux,Y,full-case-page,Y,other,Retail & e-commerce (general consumer goods),Apps & maatwerk platforms,Maatwerk software & efficiëntere processen,Apps & custom platforms,unknown,,
boostyour.marketing,control,after,tob,Y,full-case-page,N,,"Hospitality, tourism, sports & recreation",Branding & huisstijl,"Merk, huisstijl & verhaal",Social media organisch,,,Nederlandse stad of plaats
boostyour.marketing,control,after,youngbloodbrassband,Y,summary-tile,N,,,unknown,,,,,
boostyour.marketing,control,after,somewhereinthemiddle,Y,summary-tile,N,,"Hospitality, tourism, sports & recreation",,,,,,Nederlandse stad of plaats
boostyour.marketing,control,after,thesandwichclubmestreeg,Y,summary-tile,Y,reach_views,"Hospitality, tourism, sports & recreation",,,,,,Nederlandse stad of plaats
boostyour.marketing,control,after,cafhallomestreeg,Y,summary-tile,N,,"Hospitality, tourism, sports & recreation",,,,,,Nederlandse stad of plaats
boostyour.marketing,control,after,tob,Y,summary-tile,N,,"Hospitality, tourism, sports & recreation",Branding & huisstijl,,,,,Nederlandse stad of plaats
boostyour.marketing,control,after,cmtoverkappingen,Y,summary-tile,N,,"Construction, real estate & housing",,,,,,
boostyour.marketing,control,after,eclairaffair,Y,summary-tile,N,,,Content & copywriting,,,,,Nederlandse stad of plaats
boostyour.marketing,control,after,cafdepieter,Y,full-case-page,N,,"Hospitality, tourism, sports & recreation",Social media content & beheer,Naamsbekendheid & zichtbaarheid,Social media organisch,,,Nederlandse stad of plaats
boostyour.marketing,control,after,cafhallomestreeg,Y,full-case-page,Y,reach_views,"Hospitality, tourism, sports & recreation",Strategie & advies,Naamsbekendheid & zichtbaarheid,Social media organisch,,,Nederlandse stad of plaats
cieremansvanreijn.nl,control,before,eeninitiatiefvandegemeenteschiedammaassluismiddendelflandvlaardingenwestlandhoogheemraadschapvandelflandrijkswaterstaatzuidhollandenrioned,Y,full-case-page,N,,Government & public sector,Branding & huisstijl,,Social media organisch,,,Nederlandse stad of plaats
cieremansvanreijn.nl,control,before,waaijerprojectrealisatie,Y,full-case-page,N,,"Construction, real estate & housing",Campagnes & creatieve concepten,"Merk, huisstijl & verhaal",,,,Nederlandse stad of plaats
cieremansvanreijn.nl,control,before,gemeentedenhaag,Y,full-case-page,N,,Government & public sector,Campagnes & creatieve concepten,Naamsbekendheid & zichtbaarheid,,,,Nederlandse stad of plaats
cieremansvanreijn.nl,control,before,caesarspa,Y,full-case-page,N,,"Hospitality, tourism, sports & recreation",Branding & huisstijl,,Multi-channel & omnichannel,,Omvang in cijfers,Nederlandse stad of plaats
cieremansvanreijn.nl,control,before,amvest,Y,full-case-page,N,,"Construction, real estate & housing",Campagnes & creatieve concepten,,,,,Nederlandse stad of plaats
bigbirdmedia.nl,control,after,gemeentesintmichielsgestel,Y,full-case-page,N,,Government & public sector,Branding & huisstijl,Naamsbekendheid & zichtbaarheid,Social media organisch,,,
bigbirdmedia.nl,control,after,deeweedee,Y,full-case-page,N,,"Software, IT & telecom",Branding & huisstijl,,Social media organisch,,,
bigbirdmedia.nl,control,after,beweegspeel,Y,full-case-page,N,,Healthcare & care,Branding & huisstijl,,,,,
bigbirdmedia.nl,control,after,dormidesignvloeren,Y,full-case-page,N,,"Construction, real estate & housing",Branding & huisstijl,"Merk, huisstijl & verhaal","Content, video & PR",,Familiebedrijf / gevestigd met historie,
bigbirdmedia.nl,control,after,nefkens,Y,full-case-page,N,,"Transport, logistics & automotive",Branding & huisstijl,,Multi-channel & omnichannel,,,Regionaal (binnen Nederland)
bengelmedia.nl,control,before,chdr,Y,full-case-page,N,,Healthcare & care,Campagnes & creatieve concepten,Bewustwording & gedragsverandering,Social media organisch,,,Nederlandse stad of plaats
bengelmedia.nl,control,before,chdr,Y,full-case-page,N,,Healthcare & care,Campagnes & creatieve concepten,Personeel werven & werkgeversmerk,Multi-channel & omnichannel,,,Regionaal (binnen Nederland)
bengelmedia.nl,control,before,curaaotoeristenbureaueuropa,Y,full-case-page,N,,"Hospitality, tourism, sports & recreation",Branding & huisstijl,Groei & nieuwe markten,Multi-channel & omnichannel,,,Specifiek buitenland
bengelmedia.nl,control,before,datadogs,Y,full-case-page,N,,"Software, IT & telecom",Employer branding & recruitment,"Merk, huisstijl & verhaal",,Zakelijke afnemers (B2B),,
bengelmedia.nl,control,before,davincivertalingen,Y,full-case-page,N,,Business & professional services,Website & webdesign,Website verouderd of nieuw nodig,SEO & organische vindbaarheid,,,
dunepebbler.nl,control,after,nederlandsvisbureau,Y,full-case-page,N,,,"Grafisch ontwerp, drukwerk & print",Content & creatieve productie,,,,
dunepebbler.nl,control,after,nederlandsvisbureau,Y,full-case-page,N,,,Content & copywriting,Content & creatieve productie,,,,
dunepebbler.nl,control,after,vanrhijnbouw,Y,full-case-page,N,,"Construction, real estate & housing","Grafisch ontwerp, drukwerk & print",Content & creatieve productie,,,Familiebedrijf / gevestigd met historie,
elephantdesign.nl,control,after,moralis,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,uva,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,socialsmart,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,trafieq,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,atermes,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,hellolifi,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,wonderland,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,rswervingenselectie,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,hulpbijboetes,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,riverdeltacapital,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,blix,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,babysworld,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,brandsmageometrie,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,bergers,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,kerckhoff,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,mariamalki,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,opwegmetmama,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,gemeentekerkrade,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,ammizi,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,quizzzit,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,confident,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,huisartsenpraktijkurmond,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,poppartyonaplate,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,dapto,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,handelbouwadvies,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,krijtlandwonen,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,hattrick,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,agrartrucks,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,osbornedressage,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,studiojetset,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,orbisvita,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,moordkasteeleu,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,famseed,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,blissice,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,knapenbrewery,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,woonpleinlimburg,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,fysiotherapiegrachterheide,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,ricru,Y,logo-only,N,,,Apps & maatwerk platforms,,,,,
elephantdesign.nl,control,after,sineregno,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,atelierhuybreghs,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,holkatrade,Y,logo-only,N,,,Branding & huisstijl,,,,,
elephantdesign.nl,control,after,huidenoedeemtherapieheerlen,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,fpinternational,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,larkinfolab,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,qwiek,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,matchpoint,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
elephantdesign.nl,control,after,watikjegraagzeggenwil,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,dutchrana,Y,logo-only,N,,,Website & webdesign,,,Webshop consumenten (D2C),,
elephantdesign.nl,control,after,steppingstones,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,pureminds,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,startransfer,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,hoevedegeleenhof,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,drielandenpunt,Y,logo-only,N,,,Website & webdesign,,,,,
elephantdesign.nl,control,after,daivor,Y,logo-only,N,,,Webshop & e-commerce,,,Webshop consumenten (D2C),,
elephantdesign.nl,control,after,compo,Y,logo-only,N,,,Branding & huisstijl,,,,,
elevendigital.nl,narrower,after,mogelijk,Y,quote-testimonial,N,,,"Outcome-verkoop (leads, omzet, groei)",,,,,
elevendigital.nl,narrower,after,webleaders,Y,quote-testimonial,N,,,Online adverteren (paid ads),,"SEA, display & overige paid advertising",,,
elevendigital.nl,narrower,after,code,Y,quote-testimonial,N,,,Online adverteren (paid ads),,"SEA, display & overige paid advertising",,,
elevendigital.nl,narrower,after,attentives,Y,quote-testimonial,N,,,unknown,,,,,
elevendigital.nl,narrower,after,vindability,Y,quote-testimonial,N,,,unknown,,,,,
elevendigital.nl,narrower,after,demarketingninja,Y,quote-testimonial,N,,,unknown,,,,,
elevendigital.nl,narrower,after,gerrardstreet,Y,quote-testimonial,N,,,Campagnes & creatieve concepten,,"Branding, campagne & activatie",,,
elevendigital.nl,narrower,after,energyfloors,Y,quote-testimonial,N,,,unknown,,,,,
elevendigital.nl,narrower,after,jobboostio,Y,quote-testimonial,N,,,unknown,,,,,
elevendigital.nl,narrower,after,reclamebureau390,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,dotbusiness,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,deburgemeesters,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,captainsmarketingguys,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,nextbuzz,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,dezakelijkewebsite,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,designup,Y,logo-only,N,,unknown,,,,,,
elevendigital.nl,narrower,after,blauwhoed,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,mogelijkvastgoedfinanciering,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,heilijgers,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,kruiswijk,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,masccompany,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,zantman,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,smaakschiedam,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,edendistrict,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,decoulissen,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,pointofview,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,stackrotterdam,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,eimerseiland,Y,logo-only,N,,"Construction, real estate & housing",,,,,,
elevendigital.nl,narrower,after,ortec,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,deltafibernederland,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,anywhere365,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,cygnusfood,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,ekomenu,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,jackbean,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,crlia,Y,logo-only,N,,"Software, IT & telecom",,,,,,
elevendigital.nl,narrower,after,wijzeroverdebassischoolnl,Y,logo-only,N,,Retail & e-commerce (general consumer goods),,,,,,
elevendigital.nl,narrower,after,mijnhoutenjaloezieennl,Y,logo-only,N,,Retail & e-commerce (general consumer goods),,,,,,
elevendigital.nl,narrower,after,glazendouchedeurennl,Y,logo-only,N,,Retail & e-commerce (general consumer goods),,,,,,
elevendigital.nl,narrower,after,mijnraamdecoratienl,Y,logo-only,N,,Retail & e-commerce (general consumer goods),,,,,,
elevendigital.nl,narrower,after,collectioneursnl,Y,logo-only,N,,Retail & e-commerce (general consumer goods),,,,,,
elevendigital.nl,narrower,after,museumdepotshopnl,Y,logo-only,N,,Retail & e-commerce (general consumer goods),,,,,,
